year,inflation_rate,gdp_billions,min_wage_pkr,real_wage_pkr,purchasing_power_loss_%
2014,7.18938402847028,271.390474857632,10000.0,10000.0,0.0
2015,2.52932817254229,299.963590534773,13000.0,9753.306861790239,-24.97
2016,3.7651191635658,313.630000130435,14000.0,9399.40795173764,-32.86
2017,4.08537368032608,339.2055348611,15000.0,9030.479133990262,-39.8
2018,5.07805725868917,356.128166704921,15000.0,8594.06746715762,-42.71
2019,10.5780305672025,320.909472770669,17500.0,7771.94839072005,-55.59
2020,9.74011619320125,300.425609817981,17500.0,7082.139750095824,-59.53
2021,9.49641577285205,348.516647445148,19000.0,6467.91924658755,-65.96
2022,19.8738599646655,374.890295666694,25000.0,5395.604386556051,-78.42
2023,30.7681280657005,336.686348609266,32000.0,4126.085206209568,-87.11
2024,12.6325318530452,371.570000121266,37000.0,3663.315685376749,-90.1
